Author,Rating,Review
François Lambert,Rated 1 out of 5 stars,"It's a scam company. For instance, if you read the 'Hayday' reviews in the Apple Store, you'll find many negative reviews. People report various issues, such as the inability to log in or never receiving a verification code. Furthermore, customer support never responds. Yet, despite these issues, such comments often have 5-star ratings, suggesting that either Supercell has manipulated the system or has some fraudulent arrangement with Apple. Their customer support never replies, yet they send emails asking, 'How happy were you with our service?"". Avoid it, and don't let them scam your kids with their ""games""."
Stop Clash,Rated 1 out of 5 stars,"Supercell is manipulative and greedy like Blizzard. Both companies were bought up by the ""big guys in capitalism business"". See what always happens at this point: The developers only see one thing in their ego perspective: MONEY.Pure P2W and games with no soul! Everything is calculated and cold, now...Thats the gaming Industry 2024! We can feel it. The passionated small studios with heart are gone. This scheme can be applied to everything in the world. The ""big guys"" eat the little ones. Unfortunately, the ""big guys"" are often psychopathic monsters that destroy everything until only smoke and ash remains!Thats the reason, why a third world and  social, and existencial poverty is on this earth. You can see it these days in every aspect of life! Mad world."
Ale G,Rated 1 out of 5 stars,"This company is just terrible. You've ruined almost every game so far, especially Brawl Stars. No one wants to play it anymore since the introduction of Mico, Kit, and others (mainly them). You're truly lousy developers; instead of improving a game, you break it."
Paul,Rated 1 out of 5 stars,Nothing but theiving scammers.Dont buy gems as they wipe your account after a period of time.SCAMMERS
Richard Beaumont,Rated 1 out of 5 stars,"Zero stars, worst customer service ever! If you aren’t invested already, don’t spend a penny on this garbage company. No respect for loyalty. WORST!!"
Gavin Hardt,Rated 1 out of 5 stars,"Their customer support is horrid. The bot it makes you talk to doesn’t work at all, there’s no way to talk to a real person, and their systems are outdated and broken."
Mikee One,Rated 1 out of 5 stars,Extremely greedy developer that allows cheating on a regular basis with the worst customer service ever. Avoid anything from them.
Donna Bailey,Rated 1 out of 5 stars,NO STARS!THE DISRESPECT FROM THE CUSTOMER CHAT IS REVOLTING. I BELIEVE THEY USE ANY EXCUSE TO DELETE YOUR ACCOUNT JUST SO THEY CAN ROB YOU OF THE MONEY YOU SPENT. YOU CANT EVEN DEBATE AS THEY BLOCK YOU INSTANTLY SO REGARDLESS OF YOU BEING RIGHT OR WRONG YOU CANT EXPLAIN. IVE BEEN USING THIS SERVICE FOR YEARS NOW IVE LOST A FORTUNE ALL BECAUSE OF THESE MONEY GRABBING C++TS!!!! Just wish I was face to face with you mofos
Mc,Rated 1 out of 5 stars,"Paid for an upgrade on Hayday and never received it.  Support tells me that I should use the in-game 'help and support' but it keeps throwing me out.  When I try to get in touch with them via PC, I receive an e-mail to say ""It is best to drop us a message through our in-game Help and Support if you have any feedback, suggestions, or bug reports. This will help us get more information about your case"".  Supercell care nothing for their members and are all about the money.  I am done with Supercell and their appalling customer services.  Thieves!"
gsquance,Rated 1 out of 5 stars,"As a long-time enthusiast of competitive gaming, I've been both a witness to and participant in the worlds of 'Clash of Clans' and 'Clash Royale' created by Supercell. The games themselves are undeniably well-crafted, showcasing the developers' deep understanding of engaging gameplay and community-building.However, I have growing concerns regarding the monetisation strategies employed by Supercell. The practice of introducing new, overpowered characters, placing them behind a paywall, and subsequently 'nerfing' them once certain revenue targets are met is troubling. This approach not only undermines the integrity of competitive play but also takes advantage of the player's passion and investment in the game.In other industries, such as automotive, the equivalent practice would be inconceivable – selling a product only to diminish its capabilities after purchase. It is a tactic that raises serious ethical questions.Supercell has shown it knows how to create engaging games, but it is disheartening to see the business side overshadow the spirit of fair play with models reminiscent of gambling, exploiting the vulnerabilities related to addiction.I urge Supercell to revisit their policies and align their business practices with the ethics of fair play and respect for their community. It's time to recalibrate and remember that the longevity of a game is rooted in the trust and respect of its players."
Richard Beaumont,Rated 1 out of 5 stars,Zero starsWorst customer service ever!Don’t support this crooked company!
Matt,Rated 1 out of 5 stars,"Clash of Clans stole my gems when attempting to use a book, when I contacted support about it they were incredibly snarky from the beginning and basically just said “p*ss off”. Which I already knew I’d get this response because who doesn’t know how bad they are with support. But figured I’d try contacting support personally for once to see. Just saving me money cuz I won’t be paying for all my accounts to have the battle pass anymore so not a loss anyways."
Bob,Rated 1 out of 5 stars,"I used to love this game before they sold it.If you want to progress in the game you have to pay with real money. There are not 1 but 2 ""premium passes"" for a ridiculous price of 15€. You cannot have fun now because of these overpowered""evolution"" cards, which as usual you have to pay to get them. You cannot play trophy road now because if you try you will be met with a level 14 royal giant evolution. Of course you can continue playing micro transaction after micro transaction and giving the Chinese more money to make the game even worse."
Sean Rogers,Rated 1 out of 5 stars,I wish I could give this company zero stars. This corporation was developed by three drunk college kids in Finland then of course they sold out to the Chinese so it’s really a sorry game now talk about a money grabbing organization it’s almost like organized crime and prostitution. Absolutely disgusting what they’ve done to this game supercell should be banned.
Börk,Rated 1 out of 5 stars,"I was trying to recover an old account, they found it but could verify that I was the owner even though they didn't even give me a chance. They didn't ask me any questions unlike the first time when I spend 1 minute too long searching for my account's first name so they closed the chat. How am I supposed to prove that I am the owner when you don't listen to anything I say and don't ask me any questions so that I can prove that I am the owner?"
Mark Stott,Rated 1 out of 5 stars,"Shame you have to give them one starThis is basically digital theft. In my opinion, the company lies directly to their customers.It is probably the most blatant paid to win out thereThe problem is the company Miss sells its product. If you do not continue paying your card will not do the damage advertised. Also the company completely lied about their use of bots.The Chinese overlord tencent games is actually gifting the Chinese government shares in the company. Yet they claim not to be biased to Chinese players. I am sure one day this company will be exposed."
Paul Richardson,Rated 1 out of 5 stars,"One of my Clash accounts got hacked, I reported this to them and they allowed me to retrieve the account and play it for a few months, and spend further money on it.  They then subsequently banned the account stating I breached the t&c’s, i.e., they suspect that I knowingly shared the account or sold it, despite me keeping the other 4 accounts. I raised a ticket with them advising them I had credible evidence of the hack in the form of screenshots and they promised to review it, I sent them the evidence with proof of my spending on that account, plus 4 other accounts I use that were not compromised and they did not respond at all. They closed my ticket and when I queried it they simply sent me the same generic template response, same as my initial query. They are not transparent about this, but they appear to have a zero tolerance policy on hacked accounts and have no intention of allowing the hacked account to be used long term, regardless of what evidence you provide them. But despite this, they appear to be happy to allow you to spend money on the account whilst they conduct their so called their thorough investigations. Their communication around the matter has been non existent and there doesn’t appear to be any way to make a complaint either, I have requested their complaints policy without receiving a response at all, and,  I requested my data in a GDPR request and they have also ignored that request - both are a breach of trading standards in the UK. Awful company to deal with and I only hope nobody else ever experiences this, but looking at their reviews I am certainly not alone."
Stu McCulloch,Rated 1 out of 5 stars,"I was hacked, money and years of hard work on a maxed th15. Hacker changed the email and phone number. Help and support are useless!!! They keep assuming I let somebody in and no way to get my account back. Some greasy little kid has now taken all my hard work and supercell won't even look at it. The purchases etc all prove it's mine but they won't help. Disgusting"
Spam Terrible,Rated 1 out of 5 stars,N/A
Supercellsucks,Rated 1 out of 5 stars,"Don't waste your time playing this game like I did. Doesn't matter if you spend money to upgrade or not. Supercelll will never let you advance. They will always try to get you to pay more and the best way to make them angry is to stop paying for any thing and find another game. When you don't support Supercell, they get less revenue and have to hire worse people with high turnover, which is what's happening now."
Panda Gaming,Rated 1 out of 5 stars,Stupid support system ever. I heard that Clash of clans and clash royale finally playable but trying to login with my google not working at all. It will redirect to supercell ID when I put my email it will say supercell id is not found. I play since 2015 but wth can't login at all.
TV,Rated 1 out of 5 stars,Worst support ever! Completely unwilling to help for reclaiming lost accounts! In app support is automated and keeps sending you in loops until you just give up. Mail threads are closed whenever the support agent feels no further need to listen to your request.
Lucky,Rated 1 out of 5 stars,"So I wasn’t receiving verification codes whilst trying to activate account protection on clash of clans. I went to help & support & asked why I’m not receiving the codes & they told me they suspect suspicious activity & wanted to ask me a few questions. The questions were, what was the first name of the account & the very first device used to play this account. Mind you the account was created over 10 years ago so I may have got the device wrong. No second chance or any other questions, they didn’t even consider I had the email & password to the account. It just got blocked straight away & the chat was ended. No explanation or instructions on what to do next to recover the account. It’s just gone, along with all the money I invested into that account which was almost maxed out townhall 15! The most ridiculous procedures & questions! One wrong answer, even by accident, can cost you your entire account. Never use help & support & if you do, when they ask if they can ask you a few questions, just end chat. Save yourself & your account!"
Cole,Rated 1 out of 5 stars,"Account Gone and Worst Support Ever,I lost my account a couple of years ago, and I recently decided to try and start playing again, so I decided to recover my account. The agent on the live chat would ignore me and wouldn't listen to what I had to say. The verification questions they would ask are also horrible, for example they ask for the creation date of my base, I lost it years ago and created it years before that, how am I supposed to remember the exact date of creation.Overall, Worst custom support I have ever experienced, really disappointed that one of my favorite games is like this."
Serdar Tokbay,Rated 1 out of 5 stars,"Worst customer serviceOne of my accounts got dosconnected and they ask me about first transaction? How the hell should I remember that, I buy 2–3 items every week to all of them. And the names previous names hahahaha. They think I just used a lot of money on an account I’m not owning. I got supercell, the email address (never changed) account name I’ve changed 3 times on most of them. If it’s forbidden - remove the option to use gems for that. And suddenly they closed the chat and ignored me. Now I requested refund for all my users. That’s called stealing"
Ar,Rated 1 out of 5 stars,This Game is just so bad for mental health.I never finished any turnaments and since around 1 year i am stuck in one arena.
Clash Royale,Rated 1 out of 5 stars,"Their logo should appear next to the definition of greed. I played clash royale for many years and recently I uninstalled.They don't care the slightest about their community and treat them like cash-cows.Making the Pass horribly expensive AND worse, introducing lvl 15 even though the ENTIRE community was against it while also making it unreachable for casual people, trying to force us into spending lots of money, lying to us, manipulating us and going back on their word CONSTANTLY. I hope people come to their senses and stop supporting companies like Supercell."
Ask Jørgensbye,Rated 1 out of 5 stars,"I used to enjoy this game a lot, but the updates after the champions have gotten worse and they became even more greedy. They are one of the most greedy companies in the world, like apple range so you need to pay to have the slightest chance of progressing. They have also added level 15 and evolutions wich made it even more p2w  and they also added a diamond pass wich is more expensive and even worse than the old pass the old pass has gotten worse and the free pass is not even worth anything. The level 15 is so hard to get so its even more p2w. And the matchmaking is ridiculus like i get matched with people who pays to max out cards when i have level 11 cards. They are super stupid and their customer service can be very very bad."
k2laci k2laci,Rated 1 out of 5 stars,The customer service is beyond criticism! There are no words for it!
Taim Clash,Rated 1 out of 5 stars,"Really bad games company, basically money dogs, base their games of money if you don’t spend any money you’d be really weak in comparison to other players that have a higher level advantage for that it forces you to buy bundles"
Tobias D,Rated 1 out of 5 stars,"The worst ever customer service.I've been away from the game for 2-3 months ish and Came back. But I've lost my phone 2 months ago and wanted to ""recover"" my account. I couldnt recall the name or anything they asked. So I got my friends at the clan , to give me that and send it. All was good , til the guy asked me , about an receipt. He told me , I was trying to steal information about my own account and suspendend my account for 31 days. He didnt even let me responds to it. this is madness , stay away from this crap supercell. I've used over 2k dollars on clash royal , so very sad to see , my own account getting suspendend and banned for that childish reason."
Amr Zanaty,Rated 1 out of 5 stars,Worst customer service experience. No any assistance in a fraudulent case. As well as the bot can’t assist my case in the help & support. How then are you named a customer service employee!!
Bob Ritchey,Rated 1 out of 5 stars,"I have two accounts, both with almost identical names. After a few months away from the game due to travel, one of the accounts was inaccessible. I contacted support from my main account, answered their questions, and uploaded 3 years of game pass receipts for the account in question.  An agent, screen named shorty, accused me of trying to steal my second account and banned my first account for 31 days, as a warning.  They then disconnected from the chat without any opportunity for me to address whatever led them to their assumption.  Attempts to contact support by email, since both of my accounts are inaccessible, result in them telling me that I can only get support inside the game, which no longer works.  To sum up, they suck due to the arbitrary, cavalier way they ban people and there is no way to resolve the issue. Now I will call Helsinki HQ for one last try before abandoning a game in which I've invested thousands of hours.Update: the phone numbers I found on the web for their SF & Helsinki offices do not work. I got an email telling me that all bans are final and non-negotiable.  Anyone think that a class action approach may be appropriate to force a change in their support practices?"
HThaudal,Rated 1 out of 5 stars,"Just stay away.  Games great (but addictive) Customer service - used to be great.   Now (as many others claim).  If you try to recover one of your old accounts; but you don't use correct English, or provide exactly what they want to hear - they don't reply with a ""Unfortunately that is insufficient information.."".. but a no warning 31-day ban.Happy to take your money, but when you want your value back - they happily issue bans left/right/centre.It's not for the gamer (anymore), it is for profit.  Expect their ""agents"" are nothing but AI automated bots - unable to think, but happy to issue bans when there's a violation between inquiry and algorithm.Advice:  Games are great - but stay away, it will just lead to endless frustration.  And if you want to be top, you have to spend.Roll-back to the great customer service, and player experience.Journey was great while it lasted - but .. you have taken steps away from your players."
Tadhg Farrell,Rated 1 out of 5 stars,The games are great but supercell id is so bad it just destroys the experience
van der Klugt,Rated 2 out of 5 stars,There is no help desk. Just a robot. You lose boosters and nobody help you grrrr
Dean Cragg,Rated 1 out of 5 stars,"After the recent update it’s clear all they care about is squeezing the last bit of profit they can from clash of clans. They’ve now destroyed the game on purpose and made it much harder for everyone to progress on the builders base and literally destroyed most of the progress the mid level players have made on the builders base so that they can force people to buy gems knowing that everyone has spent too much time on the game to quit now. It’s no coincidence that they released the most expensive bundles I’ve ever seen on the same day and dramatically cut your loot earnings. I’m glad to see that it’s impossible to find a match on the builders base too, hopefully everyone stops playing because I’m done. The game will be dead within a year because once a company makes a mistake of this magnitude nowadays they just double down and can’t admit it. Y’all should be ashamed of yourselves and I hope people vote with their wallets and run y’all out of business. Buying out YouTubers to manipulate 12 year olds to use mommy’s credit card on gems only works for so long"
Walter Buchko,Rated 1 out of 5 stars,"The new builder base is designed as a money grab and PURPOSELY has been shrunk in size in order to destroy MULTI-MILLIONS worth of gems & dollars spent in base designs using the pre-updated shovels. This would NOT be an issue if Supercell kept the main base the same size!! And they add stupidly ridiculous expensive in app purchases to boot! There is no possible way they could not have done this deliberately! This company once again has clearly displayed a festering, putrid disease of ultimate greed and corruption. What do they do in their free time? Kick puppies and set fire to pandas? I have NO RESPECT for this evil company!"
Noah,Rated 1 out of 5 stars,Your game makes want to commit suicide! It’s a cheating piece of bull! I will literally kill myself if you don’t fix it. It’s not fair how I create a stupid deck and get my ass handed to me by some deck and then I copy that deck and get my ass handed to me over and over. I am serious about killing myself because of your game.
Simon Fraser,Rated 1 out of 5 stars,"Like others I tried to recover an old account. I was asked a few questions and was then banned for 31 days. It appears as I used my brothers account, who incidentally is in the same family clan, to access their customer services, they decided I was trying to get an account that’s not mine. What a totally idiotic quantum leap.I tried to reason with them over the course of a dozen emails and explain exactly why and what happened, but it seems there is no going back once a ban has been imposed. Eventually, they decided there was no point in continuing the email exchange and they’d close the case. I really would sue them if it was feasible. I have nothing but contempt for the way they have treated me. What a lousy way to treat your customers. Hang your head in shame!"
Antonio Ferreira,Rated 1 out of 5 stars,"I tried to get my village back, I didn't get any feedback and suddenly I'm banned. How is this even called support? I assume Supercell just wants to see tickets closed, so anything that is not resolved by the automatic bot, gets banned and that's it, you can't complain anymore. Sad to say the least..."
Cape qk,Rated 1 out of 5 stars,"Tried to recover my old account and got banned.. I’ve worked with my town for years and spent some money in-game, and now it’s banned for NO reason. Support is also awful and will just replay with a standard answer."
Stanislav,Rated 1 out of 5 stars,"You are such idi.ts. Hire a professional market analyst and double your income, you morons!!"
Toronto My,Rated 1 out of 5 stars,My account hacked.  Tried to recover only way through game.  Ridiculous method asking for devices I used 11 years ago to verify.  Just send me email to verify and text. It's easy. Had 8 emails saying attempt being made but email said if not me ignore.  I ignored then got mail saying account changed.   Utterly rubbish service centre.
JendrikArtz,Rated 1 out of 5 stars,"Coc, and especially Supercell is the biggest scam company I saw. I invested many money only to see, that they banned me. I dont even care about the duration, they ban their loyal players just like that? BIG L, #NeverAgainMoneyToSupercell"
Dwight Ludwigs,Rated 1 out of 5 stars,"This game has no support so why is on the internet? There is no help except stealing your money . I left the game once They kept bothering me to come back !!!!!!!! So I went back and got screwed over again , anybody that plays that game they are really stupid , no brains . But they will learn soon I can't find how to cash in my vouchers for diamonds !!!!!!??"
Jan Paulusma,Rated 1 out of 5 stars,That %$#$%^@^$^$% guy of the costumer support from clash royal gave me a ban for 31 days because i want to get back my clash royal account due to a vertification code tru email.. The problem is my email account is locked.. he asked me information about that Clash Royal account i try to get back.. And i know for sure 99% of the inforamtion i gave him is accurate! Now he is stating i try to break into somebody else his account! and if i tell him i can proof my outlook account which is connected to my clash royal i account is locked then it's silent from their site!!! So now they banned me for 31 days on my new account also!! i know clash royale is reading this bcoz i selected that option in this review on trust pilot! So i DARE Clash Royale customer support to react on my review! they probably are not going to react on my review because then they have to admit at the end that they made a mistake! They expect you to remember which day month and year you create this clash royale account! i got like 50 games on my phone you really think i am going to remember stuff like that?! also they asked me which devices i played clash royale on and i may not remember them all but i gave them at least 5 different devices which i played clash royale on! Then also i got the question which kings level i am! i told them i am max kingtower level which is king tower level 14 and it took me years to get there! Then they asked me if i did any purchases in the store! Which i did with googple prepaid years ago i purchaed GEMS like 3 or 4 times in a couple of hours! Also i told them my gamertag name and i told them at least 2 clans i have been participating in which are Jonah Beast & Dutch Warriors! Now tell me how can i know all this if this was not my account?! also i can proof the email adress attached/connected to the clash royale account is locked and that is the exact reason why i can not proceed the verification code process because in order to do that i need acces to my email account which is locked which i can proof either! So again i DARE Clash Royale to react on my review here on Trust Pilot! Because i know i am right! i know its my account! i know it took me years to get maxed out king tower level! and i dont want to start all over again!!! i want my old account back!
Rita Kiraly,Rated 1 out of 5 stars,"Appaling customer (player) support. It's a real shame because the games are quite good but the lack of meaningful and genuine support is easily off-putting. They provide chat support but most of the time don't actually help or even bother to read the query just throw it back saying ""they only provide limited support for your game"" (wth does that even mean when it's their game and I chose a topic from their list??!) and the advisers intentionally terminate the case so you can't follow it up or ask more questions. I tried to leave some feedback and feature suggestions, they claim there should be an option but ISN'T. Just giving me the runaround multiple times. Could have just said they don't care about feedback. Or you as a player in general. Very disappointing experience."
Dominic Kreis,Rated 1 out of 5 stars,N/A
Ryan Quinlan,Rated 1 out of 5 stars,I've played supercell back in 2017 spent a lot of money on it and recently tried to get back into it by recovering my account obviously I've had several emails since then and it wasn't sure which one it was tied to however I knew the player name on account. I gave the guy my three emails and then he sends me a link of my purchase history but it was only tied to my most recent email and so I said hey I can't seem to find the information you're looking for whoever on my Google Play I was able to see the dates of the purchases and the amounts but he wanted a special code they didn't provide. This obviously wasn't enough information but when I signed into my old Google account I was able to find the code he was looking for and when I contacted them again to give them this information they told me the account was not mine and banned me for a month. that basically stealing it is mine and I had all the necessary proof. Supercell just wants to take your money and run
Jakob Munch Overgaard,Rated 1 out of 5 stars,"This experience was by far the worst customer support ticket handling my life. Yes, you heard that right.Normally I do not make that many negative reviews, but I most say I was extremely dissatisfied as a customer after this disaster.The outcome was --tragically-- no resolution, but a banned secondary account (for phishing) by mistake made by support after faulty directions, which I was highly skeptical about.Negatives:- Auto-generated replies with all the same tedious stuff over and over again.- Support does not read the replies thorough.- Support does not honor technical knowledge by the customer.- Support had very poor technical skills.- I was not able to escalate the ticket to a 2.-level technician or speak to a supervisor.- The problem still persists, but ticket is closed.- During the error correction, support suddenly asked me to send the error details thru in-game support, which is basically just a browser window.- During the ticket handling in-game support mistakenly banned me for phishing, although I referred to the ticket-ID. Tragicomic.- No compensation for the disaster support experience.Positives:- Fast replies.- I got my secondary account back."
Sh fahad Fahad,Rated 1 out of 5 stars,How can anyone hack my account so easily. Without supercell it was very protective but supercell protection was very poor. ID I have been playing for 7 years is just gone because of supercell couldn't protect it. Damn you supercell.
Patryk,Rated 1 out of 5 stars,"I asked for my clash royale account recovery, I gave my email and all account details (also the devices I played on, because they asked) but they banned my account anyway, because they think I'm impersonating and trying to take over the account XD I presented the whole situation to them. I have also emailed them several times since 2021 and no response via in-game chat however they have helped me. Worst support, I lost my 5 year old account :)"
Ben,Rated 1 out of 5 stars,"Rip off, don't waste any money on their games."
Cameron Dobransky,Rated 1 out of 5 stars,"I will never play another Supercell game.  After years of not playing Clash of Clans, I decided to re-download it as a bunch of my friends we're starting to get back into playing.  My original account that I had that I spent a great deal of time, money, and effort on was unfortunately linked to my old email account that I shutdown and deleted.  The ""Help and Support"" page was the biggest waste of time, the directions were poor and unclear for what I was trying to achieve. When I finally found the way to go about recovering my old account, I was subsequently banned from playing the game for 31 days because they thought I was trying to steal my old account.All I wanted was to be able to play the game with my friends again and pick up where I left off.  I have deleted all Supercell games from my phone and will never re-download after this experience."
Bas,Rated 1 out of 5 stars,I have multiple accounts in the game. One account got hacked. So I was trying to get the account back with my other accounts. But Supercell just banned 4 of my accounts where I asked to help me out get my hacked account back.Worst support ever. Now I lost 5 accounts great.
Joe,Rated 1 out of 5 stars,"If I could give minus number I would. I spent 4-5 years on an account just for one day in the middle of an attack they kick me out of the game and lock my account, they believed it wasn’t my account, I provided them with my old usernames, the emails linked to the account, old clan names and members, receipts from 4 years ago and showed them the device i used to play on it 5 years ago ( most of these they asked for to prove I’m the owner of the account and I even provided more) just for them to say it’s not enough, 5 YEARS OF RECIEPTS,NAMES,CLANS AND DEVICES WASNT ENOUGH, JOKE OF A COMPANY"
ShaunyC,Rated 1 out of 5 stars,"Stole my account of 10 years, can't get through to anyone to complain a desgrace after all the revune they've received"
Ron,Rated 1 out of 5 stars,Their system glitched and stole the team I spent Years putting together.  The support admitted there was a glitch and then told me repeatedly they will do nothing about it.
SamJam,Rated 1 out of 5 stars,Rigged matchmaking algorithms.It's all about the $$$
Yas,Rated 1 out of 5 stars,"Terrible game, terrible customer service. Can’t get worse than this"
Supercell Support,Rated 1 out of 5 stars,"Similar to others they have locked my account after 10 years due to a fault on their side with Supercell ID, although I have all the verification codes and all ID available. The level of support is insulting and they have no interest in actually helping other than sending generic replies. Game over no other option available, Supercell are a disgrace. AVOID AT ALL COSTS"
Kb,Rated 1 out of 5 stars,Ya there is no support at all. So your screwed. Sorry pieces of @#$%.
Jackoob,Rated 1 out of 5 stars,Locked my account of over 8 years and won't give it back despite me having enough information to prove i own it. Terrible support the people are all robots. MAX town hall 14 new 15 lost because they don't care about their players.
Jesse Chisholm,Rated 1 out of 5 stars,"Garbage company ran and operated by garbage people. They are corporate parasites obsessed with pushing poorly crafted ""games"". Not worth a second of your time."
Sanjay Walters,Rated 1 out of 5 stars,"WORST CUSTOMER SERVICE EVER, I’m not even gonna explain why cause I’m having the saaaaame problems as everyone else"
Allan,Rated 1 out of 5 stars,"They had an issue on their system that prevented me from recieving items that they promised and were paid for…. Never got them and their response “We can’t fix it”. Plus no compensation, apology, nothing! Disappointing from such a big company"
Jason Scarborough,Rated 1 out of 5 stars,Prompt response because they already plan to accuse you of phishing and ban you for 30 days from their games
phil spencer,Rated 1 out of 5 stars,I paid for something from them and didn't receive what I paid for the people who I spoke to kept ending my conversation and basically told Me they wasn't going to give it to me either Luckily I claimed my money back from the playstore.
Needldik,Rated 1 out of 5 stars,My account was stolen contacted support and answered all questions showed receipts of my purchases and I got banned I played clash of clans for over 4 years and spent lots of money on this game screw supercell
Robert Jessop,Rated 1 out of 5 stars,"Same as others. We had a clan mate banning members. I was the one banned this time around. Requested a response. Same bot, templated nonsense.  I asked again ‘we have to close the conversation here’ was the reply. How about some customer service from a company making $2.2 billion per annum?!?"
CountD,Rated 1 out of 5 stars,If I could post 0 stars I would.  There is so much cheating that goes on in their games and they do NOTHING about it.  And what is so annoying is there is no place to report any problems.  If there is I can't find it.  When a company has to hide any way to reach them that tells you a lot about their integrity.  TERRIBLE!!!
Barry N,Rated 1 out of 5 stars,"Supercells support is a joke, I get sent the same templates they have been using for years. They don't offer any actual support. I told the one person he has been duped if he believes the garbage he sends in the templates. I then get told to express things appropriately. What a joke, how about actually providing support, otherwise, what are you being paid for. Get off your high horse and actually do something worthwhile."
Mido S.,Rated 1 out of 5 stars,Worst support ever. I had Clash of Clans account and i have had for many years. Spent alot of time and money on it. Lost my phone and just a got a new one. Logged in and everything was fine. Was online a couple of days then i choose to ask SC support for help. I just asked them to log out from all devices then i could log in my self. Because i have my own email that i have had for 20 years and my own SC ID so i can just log in my self and could have peace. 2 min later the account was locked and now i cant acces it???? I tried writting to the support but they accused me of trying to sell my account? Doesnt make sense because i want to sell it i would just sell the email. Ans i never asked to get moved to another email. I should never have asked their support for help...
Vincent,Rated 1 out of 5 stars,"i have played Clash Royale for over 6 years and lost my account.Supercell do nothing to help recover the account although happy to take money from me (which is still on the account). I created another account and messaged them only to be suspended for 31 days after 4 messages. this company are happy to takle your money but do nothing when something goes wrong. typical gamoing company just after Cash. i dont expect any response as they offer no help at allheres the email chain of the customer support ive tried to get today.Absolutely nothing - didnt even bother to helpergio H. ### Do not reply below this line ###	Sergio H.	November 01, 2022, 17:47 +0000	Hello againIt looks like we have exhausted all possibilities to resolve your request, so we have to close the conversation here.Please do not hesitate to write to us again if you have any other questions.Best regards,	November 01, 2022, 17:46 +0000	i have done all this and your colleague blocked my account for 31 daysi also cannot get into the account thats lost or the blocked one	Sergio H.	November 01, 2022, 17:43 +0000	Hey Chief!Thank you for the time you take to contact us. My name is Sergio from Supercell support. I would like to help you immediately, but for this matter, I need to ask you to contact us from inside the game. Please do the following:👉 Go to your game’s Settings;👉 Tap on the 'Help and Support' button;👉 Browse through the articles that best fit your matter.If you still have difficulties with the in-game Help and Support, tap the blue ""Contact Us"" button at the end of the article and send us a message.It was a pleasure to help you out.Have a nice day. Sergio H.Supercell support team.	November 01, 2022, 17:41 +0000	this return email does not help as i cannot log onto the old account and youve blocked my new account during a conversation in trying to retrieve it and asking for information from 6 years ago.	Supercell	November 01, 2022, 17:39 +0000	Hello,Thanks for your message.If your account is connected to Supercell ID, please check the below article to get immediate help.• Recover your Supercell ID: • I never received the verification codes: If you still need help with retrieving your game account, please contact us through the game of the account you're looking for. Any account will do, even if it's a newly created account! This ensures that we provide accurate and fast service. Unfortunately, we are not able to help you with lost account services through the web or email.Warm regards,Your Supercell Support Team	November 01, 2022, 17:39 +0000	after your recent update i can no longer use this player tag as my IPad cannot support the update. i have another device but cannot move it across to this or create a supercell account as i cant log onto Clash Royale on old device.Would you be able to create a Supercell id on this email and player tage to allow me to transfer over.Just so you know - i tried creating a new account on a new device and used this email to creat a supercell id. you blocked me for 31 days.What can be done about this please? I do not want the new account but need this email attached to the above player tag.thank youMark Vincent"
Mikołaj,Rated 4 out of 5 stars,My verification code don't want to show up. I tried many times it just don't work. My account is Mikołaj if u can do something with it I would be greatful. Please just help!! I'm putting good email. One more way is that my account has been deleted but it's impossible. I was last active 380 days ago and my friend was maybe 2x more so it's impossible that my account been deleted and his not.
T REX,Rated 1 out of 5 stars,Absolutely S##TMy account was T RexGot banned due to a weird member in our clan kept reporting people Tried to appeal but supercell not interestedStarted this game from its origins and spent a fortune over the years playing Supercell are power hungry money making w#####sDon’t play this game unless you want to be fu&@“d over by egotistical C***S
Tegyaru,Rated 3 out of 5 stars,I played bs since the BETA until March 2022. Things started going downhill after releasing Belle. Belle isn't a bad brawler but after that they seem to be releasing a brawler once a month and overpricing them on the first day it's released so people can buy them. I believe that Supercell is ptw. Releasing too many brawlers is so overwhelming for a new person playing the game along with reducing the value of existing characters which makes the game so boring now.Safety: There are lots of weirdos who claim to be a teen and send nasty messages be careful if your a girl.Edit: Things are much better now than they were before. Supercell actually solved their issues
Jason Callender,Rated 1 out of 5 stars,"Absolutely terrible customer service.  Unhelpful, disrespectful and shockingly accusatory.  No interest in assisting at all."
Андрија Фердинанд,Rated 1 out of 5 stars,"I've been playing the game for 9 years and I received bot replies. This was the 2nd time I contacted them, with the last time being several years ago.My defending layout is set to a non-existing old layout I deleted over a year ago. It does not exist in my war nor active layouts, it is th13 and not th14, and people who attack me wipe me clean in legend league because I can't change it.I sent screenshots to this band of outsourced bots, and they replied to my questions with templates and general how to tips. I even sent a bug report, and received no feedback. People are still attacking me and eating my trophies. None of my questions were answered.For the cherry on top of the cake, they closed the ticket and said they cannot help. Cannot help me change a layout that DOESN'T EXIST in my account, and is MISSING A CHAMP. I tried changing it, it didn't work. What's the bloody point of competing then? What's the point of contacting them? Who will reimburse me for this technical glitch and lost time? I expect reimbursement and an email from Supercell and I'm ticking this notify box. I will submit another honest review if I do not hear from them within 3 business days.Stop outsourcing Customer Support from third world countries without making them take an English & product knowledge test. This experience was outraging and useless, and made me waste my time.Not spending another dollar until I hear back."
